,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,titleId,ordering,region,language,types,attributes,isOriginalTitle,averageRating,numVotes
4917,s7967,Movie,Season of the Witch,Dominic Sena,"Nicolas Cage, Ron Perlman, Christopher Lee, Stephen Campbell Moore, Stephen Graham, Ulrich Thomsen, Claire Foy, Robert Sheehan, Kevin Rees, Andrew Hefler",United States,26-Apr-19,2011,PG-13,95 min,"Action & Adventure, Sci-Fi & Fantasy",A group of weary warriors transport a suspected witch believed to be responsible for spreading the devastating Black Plague.,tt0066347,1,GB,\N,\N,\N,0,7,12
4918,s7968,Movie,Secret,Jay Chou,"Jay Chou, Lun-Mei Kwai, Anthony Wong Chau-Sang, Kai-xuan Tseng, Devon Song, Jun Lang Huang, Zhan Yuhao","Hong Kong, Taiwan",1-Jul-18,2007,TV-PG,101 min,"Dramas, International Movies, Music & Musicals","Enchanted by a pretty pianist and the haunting melody she plays, a musical prodigy falls in love. But a secret soon threatens to derail their romance.",tt0147407,5,\N,\N,\N,\N,0,6.8,108
4919,s7969,TV Show,Secret Affair,,"Hee-ae Kim, Ah-in Yoo, Hye-jin Shim, Hyuk-kwon Park, Hye-eun Kim, Soo-jin Kyung, Yong-gun Kim, Chang-wan Kim, Tae-hwan Choi, Kan-hie Lee",South Korea,22-May-17,2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","A married middle-aged woman is swept off her feet, both romantically and artistically, by a gifted young pianist.",tt5309758,4,XWW,en,alternative,\N,0,8,518
4920,s7970,Movie,Secret in Their Eyes,Billy Ray,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Michael Kelly, Joe Cole, Zoe Graham, Alfred Molina","United States, United Kingdom, Spain, South Korea",1-Apr-18,2015,PG-13,111 min,"Dramas, Thrillers","A former FBI investigator reopens the haunting 13-year-old murder case of his colleague, only to uncover shocking truths hidden since then.",tt1741273,18,SE,\N,imdbDisplay,\N,0,6.3,47855
4921,s7972,Movie,Secrets of Chatsworth,Susannah Ward,Samuel West,United States,22-Feb-17,2013,TV-PG,54 min,"Documentaries, International Movies","Tales of tragedy and scandal unfold through the history of Chatsworth, a grand estate that has been home to some of England's most noted aristocrats.",tt3207470,1,GB,\N,\N,\N,0,7.6,96
4922,s7974,Movie,Secrets of Her Majesty's Secret Service,Kasia Uscinska,Samuel West,United Kingdom,22-Feb-17,2014,TV-PG,55 min,"Documentaries, International Movies","This documentary spotlights more than 100 years of operatives and operations in the U.K.'s secret service, the world's oldest intelligence agency.",tt3821142,1,GB,\N,\N,\N,0,6.6,361
4923,s7975,Movie,Secrets of Highclere Castle,Vicky Matthews,Samuel West,United States,22-Feb-17,2013,TV-PG,54 min,"Documentaries, International Movies","Known as the setting of ""Downton Abbey,"" Highclere Castle truly was the home of aristocrats and an army of servants, with a rich past to share.",tt3031008,1,US,\N,\N,\N,0,7.5,232
4924,s7976,Movie,Secrets of Scotland Yard,Susannah Ward,Samuel West,United Kingdom,22-Apr-17,2013,TV-14,55 min,Documentaries,"Revisit famous cases and explore the history of Scotland Yard, one of the world's oldest detective forces and a name synonymous with crime solving.",tt0037255,1,\N,\N,original,\N,1,6,59
4925,s7977,Movie,Secrets of Selfridges,Sam Taplin,Samuel West,United States,22-Apr-17,2014,TV-PG,55 min,Documentaries,American Harry Gordon Selfridge introduced Londoners to a new retail model that made shopping less of a practical pursuit and more of an adventure.,tt3865930,1,US,\N,\N,\N,0,7.2,231
4926,s7978,Movie,Secrets of the Tower of London,Vicky Matthews,Samuel West,United Kingdom,22-Feb-17,2013,TV-PG,55 min,Documentaries,"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint.",tt4911948,1,GB,\N,\N,\N,0,7.2,298
4927,s7979,Movie,Secrets of Underground London,"Vicky Matthews, Gareth Sacala",Samuel West,United Kingdom,22-Apr-17,2014,TV-PG,55 min,"Documentaries, International Movies","Experts examine the ruins and relics hidden beneath London's surface, unearthing a Roman amphitheater, plague pits, air raid shelters and more.",tt4912016,1,GB,\N,\N,\N,0,6.9,353
